,tweet_id,link
0,892420643555336193,https://t.co/MgUWQ76dJU
1,892177421306343426,https://t.co/0Xxu71qeIV
2,891815181378084864,https://t.co/wUnZnhtVJB
3,891689557279858688,https://t.co/tD36da7qLQ
4,891327558926688256,https://t.co/AtUZn91f7f
5,891087950875897856,https://t.co/kQ04fDDRmh
6,890971913173991426,https://t.co/tVJBRMnhxl
7,890729181411237888,https://t.co/v0nONBcwxq
8,890609185150312448,https://t.co/9TwLuAGH0b
9,890240255349198849,https://t.co/t1bfwz5S2A
10,890006608113172480,https://t.co/dVPW0B0Mme
11,889880896479866881,https://t.co/u1XPQMl29g
12,889665388333682689,https://t.co/BxvuXk0UCm
13,889638837579907072,https://t.co/f8dEDcrKSR
14,889531135344209921,https://t.co/y70o6h3isq
15,889278841981685760,https://t.co/WpHvrQedPb
16,888917238123831296,https://t.co/chxruIOUJN
17,888804989199671297,https://t.co/HTQ77yNQ5K
18,888554962724278272,https://t.co/YnYAFCTTiK
19,888078434458587136,https://t.co/DK7iDPfuRX
20,887705289381826560,https://t.co/PhrUk20Q64
21,887517139158093824,https://t.co/20VrLAA8ba
22,887473957103951883,https://t.co/cLyzpcUcMX
23,887343217045368832,https://t.co/WZqNqygEyV
24,887101392804085760,https://t.co/4Ad1jzJSdp
25,886983233522544640,https://t.co/I6oNy0CgiT
26,886736880519319552,https://t.co/ISvKOSkd5b
27,886680336477933568,https://t.co/BCoWue0abA
28,886366144734445568,https://t.co/RGE08MIJox
29,886258384151887873,https://t.co/xZDA9Qsq1O
30,885984800019947520,https://t.co/BuveP0uMF1
31,885528943205470208,https://t.co/tp1kQ8i9JF
32,885167619883638784,https://t.co/44ItaMubBf
33,884925521741709313,https://t.co/MYJvdlNRVa
34,884876753390489601,https://t.co/74TKAUsLkO
35,884562892145688576,https://t.co/1r4MFCbCX5
36,884441805382717440,https://t.co/vvBOcC2VdC
37,884162670584377345,https://t.co/YSI00BzTBZ
38,883838122936631299,https://t.co/V85xujjDDY
39,883482846933004288,https://t.co/qjrljjt948
40,883360690899218434,https://t.co/rf661IFEYP
41,883117836046086144,https://t.co/Se5fZ9wp5E
42,882992080364220416,https://t.co/tyER0KpdXj
43,882762694511734784,https://t.co/D43I96SlVu
44,882627270321602560,https://t.co/Nx52PGwH94
45,882268110199369728,https://t.co/fYP5RlutfA
46,882045870035918850,https://t.co/zeDpnsKX7w
47,881906580714921986,https://t.co/503CgWbhxQ
48,881666595344535552,https://t.co/7CSWCl8I6s
49,881536004380872706,https://t.co/ghXBIIeQZF
50,881268444196462592,https://t.co/cgwJwowTMC
51,880935762899988482,https://t.co/D0wb1GlKAt
52,880872448815771648,https://t.co/WiAMbTkDPf
53,880465832366813184,https://t.co/4VsFysDmiw
54,880221127280381952,https://t.co/fUod0tVmvK
55,880095782870896641,https://t.co/HauE8M3Bu4
